,Date,Tweets
0,2021-06-22 23:54:23+00:00,@misslizzyart @Zeneca_33 @JacquelineAyran @topshotswickie @sarah_script @all_smilesss Oh yeah for sure lol you’re welcome! Some may say I bought a cryptopunk just to boost the said support. 😆
1,2021-06-22 21:21:31+00:00,@DanPolko @SuperNfty Hey Dan wanted to ask if we can collab on your cryptopunk ?
2,2021-06-22 20:08:12+00:00,Sold! CryptoPunk #6540 was purchased for Ξ18.5 ($35k) $ETH #NFT #NFTs #digitalart #art #cryptoart #ethereum #cryptopunks https://t.co/Kgi2T6cxc8
3,2021-06-22 19:37:15+00:00,I just right clicked saved a CryptoPunk as a profile pic experiment to see if i get more followers on Twitter.
4,2021-06-22 19:18:54+00:00,"🏛️🐺🦅🌈

Another great snipe, @Zaarno !
 
Happy MARS Day, Twitter! ⚔️

Browse #RomanPunks here⤵️
https://t.co/jAQCD1SJoh

Check out BitShields⤵️
https://t.co/bx2OxQdBFX

#nfts #pixelart #cryptoart #cryptopunk #altpunk 
@UnofficialPunks

#ancientrome #nftartist https://t.co/YQyMe0EZoN"
5,2021-06-22 18:22:01+00:00,"I used to always want a CryptoPunk, that was my dream NFT purchase… 

But now that I can easily afford one, and haven fallen in love with @BoredApeYC it no longer feels the same…

BAYC might have never existed without Punks paving the way for generative avatars though… 🤔"
6,2021-06-22 16:06:00+00:00,"🏛️🐺🦅🌈

Another lucky collector!
 
Happy MARS Day, Twitter! ⚔️

Browse our collection here⤵️
https://t.co/jAQCD1SJoh

#nfts #pixelart #cryptoart #cryptopunk #altpunk 
@UnofficialPunks
#ancientrome #nftartist https://t.co/2MslwF9koQ"
7,2021-06-22 15:31:19+00:00,Might fuck around and buy a CryptoPunk during this dip
8,2021-06-22 14:05:00+00:00,"🏛️🐺🦅🌈

Another lucky collector!
 
Happy MARS Day, Twitter! ⚔️

Browse our collection here⤵️
https://t.co/jAQCD1B7ZH

#nfts #pixelart #cryptoart #cryptopunk #altpunk 
@UnofficialPunks
#ancientrome #nftartist https://t.co/Q370OViPBm"
9,2021-06-22 13:04:00+00:00,"🏛️🐺🦅🌈

Another lucky collector!
 
Happy MARS Day, Twitter! ⚔️

Browse our collection here⤵️
https://t.co/jAQCD1SJoh

#nfts #pixelart #cryptoart #cryptopunk #altpunk 
@UnofficialPunks
#ancientrome #nftartist https://t.co/4Ey8J8z445"
10,2021-06-22 12:44:40+00:00,"Ep 5 Of Trading Free #NFTs to a CryptoPunk 📈

This episode features the awesome #Doughlex made by @ArnjJoe 😲

Link to the video 👉https://t.co/QtXHu9az9u https://t.co/Y9hc1MMT83"
11,2021-06-22 12:09:01+00:00,"Lowkey shill to the #hicetnunc community. Still lots of PunkSmash's available if anyone is interested in owning a broken cryptopunk 🤭. Keep you heads held high during the dip fam &lt;3

#NFTCommunity #hicetnunc2000 #NFT #nftart #nftcollectors #NFTartist #NFT #nftcollector https://t.co/4lcKr7drrE"
12,2021-06-22 12:04:43+00:00,"Alien boys looks different than all the BYAC and CryptoPunk clones out there. Plus we’re legit mad! 

Peace out from Eridanus 👽"
13,2021-06-22 12:03:29+00:00,"🏛️🐺🦅🌈

Another lucky collector!
 
Happy MARS Day, Twitter! ⚔️

Browse our collection here⤵️
https://t.co/jAQCD1SJoh

#nfts #pixelart #cryptoart #cryptopunk #altpunk 
@UnofficialPunks
#ancientrome #nftartist https://t.co/KgFhqx5R4H"
14,2021-06-22 10:38:51+00:00,"One more time just in case.

Want To Trade:

INTO THE ETHER #203/207 (physical included) for a CryptoPunk.

🦉🤝🧑 https://t.co/tkeGYvFWpq https://t.co/lIFrciklf3"
15,2021-06-22 09:46:36+00:00,"I need Twitter to allow GIF profile pictures so it can transition between my CryptoPunk, Meebit, BAYC, BAKC, Cranium and Gutter Cat."
16,2021-06-22 05:00:13+00:00,"#cryptopunksfloorhistory Tuesday Update:

Larva Labs floor: 13.99Ξ 📉
126 punks for sale below 20Ξ (+9)
https://t.co/hSfxyI0xkF

OpenSea floor (Wrapped CryptoPunks): 20.00Ξ 📈
https://t.co/cfrUwtZBYw

#CryptoPunks #CryptoPunk #NFT $ETH https://t.co/OazhbfZ0q8"
17,2021-06-21 23:02:30+00:00,"How about it @MuseumofCrypto and @colbornbell...

Anyone with 1,000 $MOCA has permission to use the Genesis Collection's #CRYPTOPUNK as an Avatar?

https://t.co/JnjiT8QUiF https://t.co/onHmMRAN0S"
18,2021-06-21 20:05:10+00:00,"IF YOU STOP LISTENING TO CRYPTOPUNK AVATARS, YOUR IQ UNLOCKS AND ACTUALLY GROWS."
19,2021-06-21 19:49:25+00:00,Would I get more likes whenever I tweet if I have a CryptoPunk on my avatar ?
20,2021-06-21 18:46:10+00:00,"Code Punk #5157 #NFT minted on @hicetnunc2000 💥

Collect this one (3 ꜩ, 1/1): https://t.co/d221aAxvbE

#nftcollectibles #nfts #objkt #cryptoart #nftcollectors #hicetnunc #hicetnunc2000 #cryptopunk #altpunks #cleannft #tezosnft #nftdrop

(left CryptoPunk / right Code Punk) https://t.co/iusyKtFhhK"
21,2021-06-21 18:12:20+00:00,"One cool Albino family 🤍👇

Mother: #CryptoPunk 647

Baby: #PunkBaby 334

Father: #CryptoPunk 9165

Thanks for making this old school polaroid camera @bottlemani_eth 🙌 time to make some family albums of my @PunkBabies https://t.co/IHiIx7eCT3"
22,2021-06-21 17:25:07+00:00,@kanyewest The man is a huge roblox player and he has a friend literally named lil pump. Cryptopunk purchase inevitable. https://t.co/zb0n7XAhHp
23,2021-06-21 17:20:29+00:00,The world demands to know. When will @kanyewest get a cryptopunk? https://t.co/Ewyx5v4R1X
24,2021-06-21 15:11:40+00:00,Choosing between a CryptoPunk and a BAYC is the equivelent of having too much to do so you do nothing 😅😭
25,2021-06-21 14:56:34+00:00,"Do I do it? CryptoPunk oorrrr... 🤔
https://t.co/ztaVI8EiE4"
26,2021-06-21 11:08:14+00:00,"@michaelbouhanna @Sothebys @larvalabs That is an incredible presentation. Serious question, I'm renovating a whole space in my house atm as an art room. Plenty of wallspace for @justinaversano's work. Cryptopunk wallpaper would, like Lebowski's rug, complete the ensemble. Possible to get?"
27,2021-06-21 00:20:41+00:00,"I'LL PROBABLY BUY A CRYPTOPUNK IN THE FUTURE JUST TO DESTROY IT.

CONSIDER ME A BURN ADDRESS REPRESENTATIVE COLLECTOR.

MORE PERFORMANCE PIECES COMING IN THE FUTURE.  WON'T LET YALL DOWN. 🤗😉"
28,2021-06-21 00:08:42+00:00,"THERE'S NOTHING STOPPING YOU FROM BURNING A MEEBIT, A BORED APE OR A CRYPTOPUNK."
29,2021-06-20 21:32:14+00:00,"Our launch is right around the corner (maybe Monday Night).

To celebrate, we are doing a 5 TILE GIVEAWAY! ( worth $1000+)

To enter, like and retweet this post, and comment your favorite of our top 3 prizes below!

1. CryptoPunk #6925
2. Bored Ape #9896
3. Gutter Cat #361 https://t.co/EbGxwNrrCw"
30,2021-06-20 17:57:58+00:00,"have rare 4T ape. Ranked 400. Also have his pup. Have held since .22E.

For these two I’m open to trading for any of these items.

Tesla
CryptoPunk
XCOPY"
31,2021-06-20 17:43:42+00:00,"What a fucking journey everybody.. I started roughly two months ago grinding every day to work up to my end goal of owning a Cryptopunk. Today, I decided that I would go full force and sell some assets and finally get one.

I fucking love this community https://t.co/sLpSHKIWZ9"
32,2021-06-20 17:41:50+00:00,"Officially acquired #CryptoPunk 5777 today

The best part?

It was all done from @Ghxsts profits alone

Extremely fortunate to have found Ghxsts when I did.  Thank you @GxngYxngNFT for your hard work and dedication to the project

https://t.co/FwLjub11mq"
33,2021-06-20 17:40:19+00:00,"Someone just bought a CryptoPunk with profits they’ve made from Ghxsts 

🤯"
34,2021-06-20 08:50:15+00:00,CryptoPunk #7804 رو سرچ کنید تا هنر هفت و نیم ملیون دلاری رو ندیده از دنیا نرید
35,2021-06-20 07:09:02+00:00,"#cryptopunksfloorhistory Sunday Update:

Larva Labs floor: 14.93Ξ 📈
116 punks for sale below 20Ξ (+5)
https://t.co/hSfxyI0xkF

OpenSea floor (Wrapped CryptoPunks): 19.00Ξ 😴
https://t.co/cfrUwtZBYw

#CryptoPunks #CryptoPunk #NFT $ETH https://t.co/9uFVBh5dRm"
36,2021-06-20 03:47:25+00:00,"Just lowered the price on a bunch of stuff on my opensea grab something while eth and gas is low! 
https://t.co/YT2c4CN4o1
#NFT #opensea #boredapeyc #NFTs #nftart #nftcollectors #NFTdrop #cryptopunks #CRYPTOPUNK #nonfungible #NFTcollectibles #punks #unofficialpunks"
37,2021-06-19 21:27:05+00:00,"There has been 130 total #cryptopunk sales in June so far (left).  

The top purchaser (right) looks to be @mattkalish with 2 bought for 160 ETH total (~$352,000) 👀👀. 

Top seller sold 23 #cryptopunks for 257 ETH (~$565,000)

@WPeaster @PunkHot10 https://t.co/zOaeGl2eU2"
38,2021-06-19 20:20:29+00:00,I don’t got a cryptopunk but I got 10 apes 🦧
39,2021-06-19 20:15:08+00:00,"2months ago I was dreaming about owning a CryptoPunk, but it seemed impossible because I didn’t have the $ to afford one. Now if I wanted I could sell 1 ape and 2 dogs and have one (not doing it tho) I’m sure I will own a CP in the near future and be on both projects

Punks🤝Apes"
40,2021-06-19 18:35:16+00:00,"Extremely rare 4x4 Code Punk #62 #NFT minted @hicetnunc2000 🔥

Collect this one (40 ꜩ, 1/1): https://t.co/tj3gEYIKoJ

#nftcollectibles #nfts #objkt #cryptoart #nftcollectors #hicetnunc #cryptopunk #altpunks #cleannft #tezosnft #nftdrop #xtz

(left CryptoPunk / right Code Punk) https://t.co/JZeFRow1dr"
41,2021-06-19 16:56:26+00:00,"If you bought a floor Cryptopunk (~30 ETH) around when the Bored Apes launched, your Punk + Meebit at floor valuation are worth about 16 ETH today.

If you minted 30 ETH of Bored Apes instead, your Apes + Dogs are worth (at worst, assuming all floor apes) about 1,300 ETH today.🥴"
42,2021-06-19 16:29:14+00:00,"🏛️🐺🦅🌈

Happy SATURN Day! 🪐

#EtherFishing &amp; #RomanPunks Bundle Offer!

The price keeps dropping until it sells...

Get it!⤵️
https://t.co/PO3FPfAXcx

Follow 
@EtherFishing 
 &amp; 
@RomanPunksNFT
 
#nftcollector #pixelart #cryptoart #cryptopunk #altpunks #cryptopunks #nfts https://t.co/LVML0HIRU5"
43,2021-06-19 16:19:20+00:00,"🏛️🐺🦅🌈

Congratulations to @Mohugs 

Happy Saturn Day, Twitter! 🪐

Browse our collection here⤵️
https://t.co/jAQCD1SJoh

and follow @LegacyPunks 

#nfts #pixelart #cryptoart #cryptopunk #altpunk 
@UnofficialPunks

#ancientrome #nftartist https://t.co/4yOF7HuLdP"
44,2021-06-19 15:48:53+00:00,"Less than an hour left to bid on the auction!💥📣

https://t.co/GQAF0XOB1S

#Ethereum #Eth #DeFi #NFTart #NFT $RARI #Rarible $ETH #altpunks #cryptopunks #pixelart #uponly #ganpunk #bganpunk #nftart #NFTPUNK #cryptopunk #thelastsupper #thelastpump #ethmemes #narratormemez https://t.co/K160wgoDPG"
45,2021-06-19 14:59:52+00:00,"ngl, it is painful to let go of 2 apes (they got swept up after the #BoredApeKennelClub announcement, still kicking myself for not delisting before i claim my doggies) but hey... i own a #cryptopunk now !! https://t.co/FV6zOjq0sc"
