Unnamed: 0,Date,Tweets,paper_text_processed,tweet_without_stopwords
1929,2021-05-29 00:48:15+00:00,"Since thi i not a commiion but an exchange of a SD piece for a CryptoPunk he i elevating the value of a ingle piece of the collection exponentially 
He i chooing to upport a developing univere intead of getting omething tailor made for hi ego","ince this is not a commission but an exchange of a sd piece for a cryptopunk he is elevating the value of a single piece of the collection exponentially 
he is choosing to support a developing universe instead of getting something tailor made for his ego",ince commission exchange sd piece cryptopunk elevating value single piece collection exponentially choosing support developing universe instead getting something tailor made ego
1951,2021-05-28 12:58:29+00:00,@ergitoergito @Rahim_mahtab @chevy_pop @digitalartchick And factually we are even regreing We went from human (CryptoPunk) to ape (BAYC) 👀 Backward evolution uing futuritic tech,@sergitosergito @rahim_mahtab @chevy_pop @digitalartchick and factually we are even regressing we went from humans (cryptopunk) to apes (bayc) 👀 backward evolution using futuristic tech,@sergitosergito @rahim_mahtab @chevy_pop @digitalartchick factually even regressing went human (cryptopunk) ape (bayc) 👀 backward evolution using futuristic tech
1974,2021-05-27 20:24:52+00:00,"🚨 Let me introduce my new drop on @withFND 🚨

""IMMØЯŦΛL""

My own cryptopunk available only on @withFND 🤖

Reerve price 02 ETH🔥

I'm really proud of thi one and i hope you will like it

http://tco/0ZrqwJbmoN http://tco/J0hqWUH3al","🚨 let me introduce my new drop on @withfnd 🚨

""immøяŧλl""

my own cryptopunk available only on @withfnd 🤖

reserve price 02 eth🔥

i'm really proud of this one and i hope you will like it

https://tco/0zrqwjbmon https://tco/j0hqwuh3al","🚨 let introduce new drop @withfnd 🚨 ""immøяŧλl"" cryptopunk available @withfnd 🤖 reserve price 02 eth🔥 really proud hope like https://tco/0zrqwjbmon https://tco/j0hqwuh3al"
2050,2021-05-25 20:06:23+00:00,@_Wyb0 @CryptoCarNFT @CryptoRobotNFT @CryptoFoxeNFT Congratulation on the Cryptopunk you can generate ome paive income with that one at @renftlab btw I actually bought a ome NFT of the car collection Loved them Bet wihe,@_wyb0 @cryptocarsnft @cryptorobotsnft @cryptofoxesnft congratulations on the cryptopunk you can generate some passive income with that one at @renftlabs btw i actually bought a some nft of the car collection loved them best wishe,@_wyb0 @cryptocarsnft @cryptorobotsnft @cryptofoxesnft congratulation cryptopunk generate passive income @renftlabs btw actually bought nft car collection loved best wishe
2088,2021-05-24 16:46:35+00:00,"@dan_OpenSea technically declined a free cryptopunk year ago at a conference

fml","@dan_opensea technically declined a free cryptopunk years ago at a conference

fml",@dan_opensea technically declined free cryptopunk year ago conference fml
2111,2021-05-23 20:57:26+00:00,"Hey everybody Our firt 5 #NFT are now live for 03 ETH per Each purchae come with a phyical bracelet

http://tco/jjb5PhbzR3

#NFT #nftart #nftcollector #NFTdrop #cryptopunk #CRYPTOPUNK #nonfungible #NFTcollectible #punk #unofficialpunk #Ethereum $ETH $BTC http://tco/C1QUdMfC","hey everybody our first 5 nft are now live for 03 eth per each purchase comes with a physical bracelet

https://tco/jjb5phbzr3

nft nftart nftcollector nftdrop cryptopunk cryptopunk nonfungible nftcollectibles punks unofficialpunks ethereum eth btc https://tco/cs1qudmfc",hey everybody first 5 nft live 03 eth per purchase come physical bracelet https://tco/jjb5phbzr3 nft nftart nftcollector nftdrop cryptopunk cryptopunk nonfungible nftcollectibles punk unofficialpunks ethereum eth btc https://tco/cs1qudmfc
2133,2021-05-23 05:17:04+00:00,"Hey everybody Our firt ever #NFT will be dropping tomorrow Each nft come with a phyical bracelet

http://tco/jjb5PhbzR3

#NFT #nftart #nftcollector #NFTdrop #cryptopunk #CRYPTOPUNK #nonfungible #NFTcollectible #punk #unofficialpunk #Ethereum $ETH $BTC http://tco/qx8hWTO87","hey everybody our first ever nft will be dropping tomorrow each nft comes with a physical bracelet

https://tco/jjb5phbzr3

nft nftart nftcollector nftdrop cryptopunk cryptopunk nonfungible nftcollectibles punks unofficialpunks ethereum eth btc https://tco/qxs8hwto87",hey everybody first ever nft dropping tomorrow nft come physical bracelet https://tco/jjb5phbzr3 nft nftart nftcollector nftdrop cryptopunk cryptopunk nonfungible nftcollectibles punk unofficialpunks ethereum eth btc https://tco/qxs8hwto87
2184,2021-05-21 20:59:58+00:00,"Good night everyone

Really ucceful day 2 punk old to two member of @veefriend family

There i 1 more pot open for the giveaway 🍀

Stay tuned a lot more to come 🚀🌚

#NFT #NFT #unnoficialpunk #portraitpunk #cryptopunk #nftart #NFTCommunity #NFTartit","good night everyone

really successful day 2 punks sold to two members of @veefriends family

there is 1 more spot open for the giveaway 🍀

stay tuned a lot more to come 🚀🌚

nft nft unnoficialpunks portraitpunk cryptopunk nftart nftcommunity nftartist",good night everyone really successful day 2 punk two member @veefriends family 1 spot open giveaway 🍀 stay tuned lot come 🚀🌚 nft nft unnoficialpunks portraitpunk cryptopunk nftart nftcommunity nftartist
2211,2021-05-21 02:18:35+00:00,"Trying to piece everything together but it look to me like the recent Meebit exploit (reverting your tranaction) wa ued to claim the Apymon Cryptopunk Over 200 reverted tranaction from thi one addre and then it finally hit and claimed punk

http://tco/ovzaMYBrR1","trying to piece everything together but it looks to me like the recent meebit exploit (reverting your transactions) was used to claim the apymon cryptopunk over 200 reverted transactions from this one address and then it finally hit and claimed punk

https://tco/ovzamybrr1",trying piece everything together look like recent meebit exploit (reverting transactions) used claim apymon cryptopunk 200 reverted transaction address finally hit claimed https://tco/ovzamybrr1
2224,2021-05-20 22:00:00+00:00,"🚨 2 REVEALS

CryptoPunk #5 had an earring all thee year but it wa covered by her hair &amp; NEVER een before

Until now Uing x-ray we can look behind the pixel &amp; REVEAL THE HIDDEN EARRING

Turn out he ha brace too Our firt with 2 reveal 🤍

http://tco/v6hlzt0DTP http://tco/YVUDpZbHNJ","🚨 2 reveals

cryptopunk 5 had an earring all these years but it was covered by her hair &amp; never seen before

until now using x-rays we can look behind the pixels &amp; reveal the hidden earring

turns out she has braces too our first with 2 reveals 🤍

https://tco/v6hlzt0dtp https://tco/yvudpzbhnj",🚨 2 reveals cryptopunk 5 earring year covered hair never seen using x-ray look behind pixel reveal hidden earring turn brace first 2 reveals 🤍 https://tco/v6hlzt0dtp https://tco/yvudpzbhnj
2257,2021-05-20 06:05:23+00:00,@GuerrillaThink @fugiolab I hould warn you @fugiolab doen’t actually own a CryptoPunk he jut right-clicked and aved it from the LL webite for clout,@guerrillathink @fugiolabs i should warn you @fugiolabs doesn’t actually own a cryptopunk he just right-clicked and saved it from the ll website for clout,@guerrillathink @fugiolabs warn @fugiolabs doesn’t actually cryptopunk right-clicked saved website clout
2322,2021-05-18 18:34:03+00:00,"Congrat to @SPACEracerX and OpenSea uer ""kran"" (owner of CryptoPunk 5028) on each winning an edition of ""God Save the Queen of PUNKS"" minted at MakerPlace by the legendary @Hackatao 🏆

That make 3 edition that have been awarded to random minter at http://tco/kd0gKtp8n8👇 http://tco/dccGoYMNtk","congrats to @spaceracerx and opensea user ""kran"" (owner of cryptopunk 5028) on each winning an edition of ""god save the queen of punks"" minted at makersplace by the legendary @hackatao 🏆

that makes 3 editions that have been awarded to random minters at https://tco/kd0gktp8n8👇 https://tco/dccgoymntk","congrats @spaceracerx opensea user ""kran"" (owner cryptopunk 5028) winning edition ""god save queen punks"" minted makersplace legendary @hackatao 🏆 make 3 edition awarded random minter https://tco/kd0gktp8n8👇 https://tco/dccgoymntk"
2342,2021-05-18 10:57:44+00:00,"Hat and clown noe I it really trendy 🤷‍♀️✨

CryptoPunk X #6293 — SOLD to @202009BC Look for it in omeone' hand in the econdary market on @airnft 🔥🤟✨

#cryptopunk #nft #nft #airnft #digitalart #pixelart #cryptoart #BSC #BinanceSmartChain http://tco/Wt4UMFArQm","hat and clown nose is it really trendy 🤷‍♀️✨

cryptopunk x 6293 — sold to @202009bc look for it in someone's hands in the secondary market on @airnft 🔥🤟✨

cryptopunk nft nft airnft digitalart pixelart cryptoart bsc binancesmartchain https://tco/wt4umfarqm",hat clown nose really trendy 🤷‍♀️✨ cryptopunk x 6293 — @202009bc look someone's hand secondary market @airnft 🔥🤟✨ cryptopunk nft nft airnft digitalart pixelart cryptoart bsc binancesmartchain https://tco/wt4umfarqm
2354,2021-05-17 18:58:57+00:00,@beaniemaxi @thenftattorney @jutintrimble @tonyherrera @RonenV @hertoryDAO @gmoneyNFT @FLAMINGODAO Feel like @elonmuk i buy rugging my ale right now He really need my maked alien cryptopunk don't you think Hint Hint,@beaniemaxi @thenftattorney @justintrimble @tonyherrera @ronenv @herstorydao @gmoneynft @flamingodao feel like @elonmusk is busy rugging my sale right now he really needs my masked alien cryptopunk don't you think hint hint,@beaniemaxi @thenftattorney @justintrimble @tonyherrera @ronenv @herstorydao @gmoneynft @flamingodao feel like @elonmusk busy rugging right really need masked alien cryptopunk think hint hint
2371,2021-05-16 23:44:57+00:00,"New rule: you’re not allowed to ue a CryptoPunk a your profile pic unle you actually own that cryptopunk

Inane cool point if you own it","new rule: you’re not allowed to use a cryptopunk as your profile pic unless you actually own that cryptopunk

insane cool points if you own it",new rule: you’re allowed cryptopunk profile pic unless actually cryptopunk insane cool point
2378,2021-05-16 20:42:52+00:00,"Thi i really unuual punk 👓✨

CryptoPunk X #6290 — SOLD Look for it in omeone' hand in the econdary market on @airnft 🔥🤟✨

#cryptopunk #nft #nft #airnft #digitalart #pixelart #cryptoart #BSC #BinanceSmartChain http://tco/0zrTcPEV9","this is really unusual punk 👓✨

cryptopunk x 6290 — sold look for it in someone's hands in the secondary market on @airnft 🔥🤟✨

cryptopunk nft nft airnft digitalart pixelart cryptoart bsc binancesmartchain https://tco/0szrtcpev9",really unusual 👓✨ cryptopunk x 6290 — look someone's hand secondary market @airnft 🔥🤟✨ cryptopunk nft nft airnft digitalart pixelart cryptoart bsc binancesmartchain https://tco/0szrtcpev9
2411,2021-05-16 01:21:35+00:00,"⚡️SLEEPER SNAG⚡️

Homage Pig 17522
👁️👁️👁️
🐽🐽

Really nice coop @fenderjazzz

Link: http://tco/acOrFc7JlO

#NFTartit #NFTCommunity #altpunk #nftcollector #NFT #NFTart #nftcollector #cryptopunk  #cryptopunk #Cryptoart #HaringPunk #meetbit #meetbit http://tco/kg6bY6xchA","⚡️sleeper snag⚡️

homage pig 17522
👁️👁️👁️
🐽🐽

really nice scoop @fenderjazzz

link: https://tco/acorfc7jlo

nftartist nftcommunity altpunks nftcollector nft nftart nftcollector cryptopunk  cryptopunk cryptoart haringpunks meetbits meetbit https://tco/kg6by6xcha",⚡️sleeper snag⚡️ homage pig 17522 👁️👁️👁️ 🐽🐽 really nice scoop @fenderjazzz link: https://tco/acorfc7jlo nftartist nftcommunity altpunks nftcollector nft nftart nftcollector cryptopunk cryptopunk cryptoart haringpunks meetbits meetbit https://tco/kg6by6xcha
2442,2021-05-15 04:58:25+00:00,@digitalartchick that CryptoPunk you paid $50K for wa originally given away for free,@digitalartchick that cryptopunk you paid 50k for was originally given away for free,@digitalartchick cryptopunk paid 50k originally given away free
2518,2021-05-13 16:55:03+00:00,"Say 👋 to our newet fund invetment: 

CryptoPunk #8282

I believe CryptoPunk the firt NFT on Ethereum will eventually become the ultimate digital flex 

Only 10k were created http://tco/T82NFgVkLj","ay 👋 to our newest fund investment: 

cryptopunk 8282

i believe cryptopunk the first nft on ethereum will eventually become the ultimate digital flex 

only 10k were created https://tco/t82nfgvklj",ay 👋 newest fund investment: cryptopunk 8282 believe cryptopunk first nft ethereum eventually become ultimate digital flex 10k created https://tco/t82nfgvklj
2557,2021-05-13 01:43:33+00:00,"Officially the 1t Pot #CRYPTOPUNK Parody #NFTart owned by @NFTland 
If you know of an earlier than 4/17/2020 pot it up 👀 
http://tco/Y57g6uSvyH
#Stoner BRRRRR #NFT http://tco/NThmvZrSbm","officially the 1st post cryptopunk parody nftart owned by @nftland 
if you know of an earlier than 4/17/2020 post it up 👀 
https://tco/y57g6usvyh
stoner brrrrr nft https://tco/nthmvzrsbm",officially 1st post cryptopunk parody nftart owned @nftland know earlier 4/17/2020 post 👀 https://tco/y57g6usvyh stoner brrrrr nft https://tco/nthmvzrsbm
2579,2021-05-12 16:28:48+00:00,I actually liked the cryptopunk pot it note by @ChritieInc,i actually liked the cryptopunk post it notes by @christiesinc,actually liked cryptopunk post note @christiesinc
