Unnamed: 0,Date,Tweets,paper_text_processed,tweet_without_stopwords
25,2021-07-21 21:58:16+00:00,I it bad to be exually attracted to a certain cryptopunk 💀  I'm like yo I kind of low-key want him in my life,is it bad to be sexually attracted to a certain cryptopunk 💀  i'm like yo i kind of low-key want him in my life,bad sexually attracted certain cryptopunk 💀 like yo kind low-key want life
36,2021-07-21 13:50:41+00:00,"NFT 🤝 Fractional Alt Aet Inveting

Meet CryptoPunk #9670 coming oon @OnRallyRd

Numbered to 10000 Punk launched in 2017 a one of the firt ETH NFT

#9670 i 1 of 3840 Female 1 of 10 Female with “Crazy Hair” &amp; “Nerd Glae”

In depth coverage pre-IPO @AltanInight http://tco/UcTVHN37a","nft 🤝 fractional alt asset investing

meet cryptopunk 9670 coming soon @onrallyrd

numbered to 10000 punks launched in 2017 as one of the first eth nft

9670 is 1 of 3840 females 1 of 10 females with “crazy hair” &amp; “nerd glasses”

in depth coverage pre-ipo @altaninsights https://tco/uctvhn3s7a",nft 🤝 fractional alt asset investing meet cryptopunk 9670 coming soon @onrallyrd numbered 10000 punk launched 2017 first eth nft 9670 1 3840 female 1 10 female “crazy hair” “nerd glasses” depth coverage pre-ipo @altaninsights https://tco/uctvhn3s7a
49,2021-07-21 01:44:37+00:00,"We are hiring a CryptoPunk a a ocial media intern here on twitter for month of Augut Thi Punk i owned by @g3nLabJoh who ha generouly granted u uage of Punk 3356

We are building omething really freaking cool for the ecoytem and are excited to hare with y'all http://tco/bMoo1qPTh5","we are hiring a cryptopunk as a social media intern here on twitter for month of august this punk is owned by @g3nlabsjosh who has generously granted us usage of punk 3356

we are building something really freaking cool for the ecosystem and are excited to share with y'all https://tco/bmoo1qpth5",hiring cryptopunk social medium intern twitter month august owned @g3nlabsjosh generously granted u usage 3356 building something really freaking cool ecosystem excited share y'all https://tco/bmoo1qpth5
62,2021-07-20 18:35:01+00:00,"If Jay-Z i one of the world' mot culturally influential figure and hi twitter picture i a CryptoPunk where do you think thi i headed 🤔😁

via @garyvee http://tco/arcLyRfMwN","if jay-z is one of the world's most culturally influential figures and his twitter picture is a cryptopunk where do you think this is headed 🤔😁

via @garyvee https://tco/arclyrfmwn",jay-z world's culturally influential figure twitter picture cryptopunk think headed 🤔😁 via @garyvee https://tco/arclyrfmwn
68,2021-07-20 17:13:21+00:00,"🚨 Ye hi hello Would you like the teal of a lifetime

How about the x-ray of CryptoPunk #2336 for jut Ξ008 on the econdary market ☠️

That' below floor it' baically in the baement ayooo http://tco/2p3UpC37iT http://tco/876YEq5PfH","🚨 yes hi hello would you like the steal of a lifetime

how about the x-ray of cryptopunk 2336 for just ξ008 on the secondary market ☠️

that's below floor it's basically in the basement ayooo https://tco/2p3upc37it https://tco/876yeq5pfh",🚨 yes hi hello would like steal lifetime x-ray cryptopunk 2336 ξ008 secondary market ☠️ that's floor basically basement ayooo https://tco/2p3upc37it https://tco/876yeq5pfh
74,2021-07-20 08:21:40+00:00,@DappRadar @RealSupDuck finally a NFTcollection with cool dank deign cryptopunk BAYC DOGE pound not o great deign IMO,@dappradar @realsupducks finally a nftcollection with cool dank design cryptopunk bayc doge pound not so great design imo,@dappradar @realsupducks finally nftcollection cool dank design cryptopunk bayc doge pound great design imo
106,2021-07-19 14:52:56+00:00,cryptopunk owner are really weet lol they've all been following me back and i don't even know why,cryptopunk owners are really sweet lol they've all been following me back and i don't even know why,cryptopunk owner really sweet lol they've following back even know
119,2021-07-19 04:08:48+00:00,"I made a cryptopunk 7523 out of toy block  It look pretty plauible a it i framed and hung  Thi alien pixel art old at Sotheby' for $11754000  The world of nft i really amazing
#pixelart #cryptopunk #nftart #otheby http://tco/qn5faknGt","i made a cryptopunk 7523 out of toy blocks  it looks pretty plausible as it is framed and hung  this alien pixel art sold at sotheby's for 11754000  the world of nft is really amazing
pixelart cryptopunk nftart sotheby https://tco/qn5fsakngt",made cryptopunk 7523 toy block look pretty plausible framed hung alien pixel art sotheby's 11754000 world nft really amazing pixelart cryptopunk nftart sotheby https://tco/qn5fsakngt
122,2021-07-18 23:50:35+00:00,"A year ago my net worth wa like $600 (maybe negative with debt actually 😅) 

Yeterday I bought a CryptoPunk

Workin toward that generational wealth 

No amount of word can expre my gratitude to my collector peer and fellow artit 💕🚀
Together we can move mountain 🏔","a year ago my net worth was like 600 (maybe negative with debt actually 😅) 

yesterday i bought a cryptopunk

workin towards that generational wealth 

no amount of words can express my gratitude to my collectors peers and fellow artists 💕🚀
together we can move mountains 🏔",year ago net worth like 600 (maybe negative debt actually 😅) yesterday bought cryptopunk workin towards generational wealth amount word express gratitude collector peer fellow artist 💕🚀 together move mountain 🏔
136,2021-07-18 12:26:43+00:00,"Selling my emo cryptopunk He front a band he would decribe a creamo-pop with pot-rock/hoegaze breakdown They opened for Yellowcard lat ummer and killed it MTV ued one of their ong in a really tene cene in The Hill It' 2001
http://tco/DlBEdZXNIv","elling my emo cryptopunk he fronts a band he would describe as screamo-pop with post-rock/shoegaze breakdowns they opened for yellowcard last summer and killed it mtv used one of their songs in a really tense scene in the hills it's 2001
https://tco/dlbedzxniv",elling emo cryptopunk front band would describe screamo-pop post-rock/shoegaze breakdown opened yellowcard last summer killed mtv used song really tense scene hill 2001 https://tco/dlbedzxniv
153,2021-07-17 23:08:04+00:00,Really want to put a cryptopunk on the wedding regitry,really want to put a cryptopunk on the wedding registry,really want put cryptopunk wedding registry
161,2021-07-17 18:17:48+00:00,"NFT Inpiration Note to Self - one day I’ll finally be able to own

Mint @artblock_io (+Squiggle pleae)
@Ghxt
@HayloNFT 
More @BoredApeYC 
CryptoPunk
More @nbatophot Holo moment
@BullOnTheBlock Lava bull

Never Stop Grinding Til You Reach Your Dream

🙏 #NFT","nft inspiration note to self - one day i’ll finally be able to own

mint @artblocks_io (+squiggle please)
@ghxsts
@haylosnft 
more @boredapeyc 
cryptopunk
more @nbatopshot holo moments
@bullsontheblock lava bull

never stop grinding til you reach your dreams

🙏 nft",nft inspiration note self day i’ll finally able mint @artblocks_io (+squiggle please) @ghxsts @haylosnft @boredapeyc cryptopunk @nbatopshot holo moment @bullsontheblock lava bull never stop grinding til reach dream 🙏 nft
170,2021-07-17 11:35:07+00:00,You never actually own a CryptoPunk  You merely look after it for the next generation http://tco/eqYPfXPIqb,you never actually own a cryptopunk  you merely look after it for the next generation https://tco/eqypfxpiqb,never actually cryptopunk merely look next generation https://tco/eqypfxpiqb
172,2021-07-17 10:05:08+00:00,"⚡️SOLD OUT…AGAIN ⚡️

Huge houtout to @punk7642 for cooping up (literally…off the ground) SplatPunk #027

Thank o much and congrat on nagging the platted verion of your OG #cryptopunk

👀 More SplatPunk incoming

#altpunk #platpunk #pixelart #NFTale http://tco/WY4EaGxdC","⚡️sold out…again ⚡️

huge shoutout to @punk7642 for scooping up (literally…off the ground) splatpunks 027

thanks so much and congrats on snagging the splatted version of your og cryptopunk

👀 more splatpunks incoming

altpunks splatpunks pixelart nftale https://tco/wy4esagxdc",⚡️sold out…again ⚡️ huge shoutout @punk7642 scooping (literally…off ground) splatpunks 027 thanks much congrats snagging splatted version og cryptopunk 👀 splatpunks incoming altpunks splatpunks pixelart nftale https://tco/wy4esagxdc
177,2021-07-16 21:53:12+00:00,@eedphrae Only 18 mil for one of 24 ape in the CryptoPunk collection It ound greedy to deny thi but it will hurt you looking back that you gave it away for free baically,@seedphrase only 18 mil for one of 24 apes in the cryptopunk collection it sounds greedy to deny this but it will hurt you looking back that you gave it away for free basically,@seedphrase 18 mil 24 ape cryptopunk collection sound greedy deny hurt looking back gave away free basically
180,2021-07-16 19:00:06+00:00,if i didn't have a cryptopunk thi clown hoe would leave me alone like lat week when I didn't have one and never aw him in my mention lol CLOUT CHASER it' o obviou okay now I'm actually logging off lol,if i didn't have a cryptopunk this clown shoe would leave me alone like last week when i didn't have one and never saw him in my mentions lol clout chaser it's so obvious okay now i'm actually logging off lol,cryptopunk clown shoe would leave alone like last week never saw mention lol clout chaser obvious okay actually logging lol
182,2021-07-16 17:19:13+00:00,"So… Who know 3D Skull Punk🤯

If you don’t you’re really miing out Hi kill are AMAZING @UnFy3D 👑 

Do you know that ome original #cryptopunk owner bought ome off the 2nd floor👀🔥

Different than all the generative thing on OS🌊 

http://tco/FF4QrYD6BV","o… who knows 3d skull punks🤯

if you don’t you’re really missing out his skills are amazing @unfy3d 👑 

do you know that some original cryptopunk owners bought some off the 2nd floor👀🔥

different than all the generative things on os🌊 

https://tco/ff4qryd6bv",o… know 3d skull punks🤯 don’t you’re really missing skill amazing @unfy3d 👑 know original cryptopunk owner bought 2nd floor👀🔥 different generative thing os🌊 https://tco/ff4qryd6bv
185,2021-07-16 14:41:57+00:00,"Hitoric 
1 Thi loan i entirely DAO-to-DAO omething that will become normal eventually but i entirely novel and really cool to ee 

2 Thi loan i entirely backed by NFT' legitimizing the ue of NFT' a collateral within DeFi 

Wen cryptopunk a collateral http://tco/zzZCqWw4Nb","historic 
1 this loan is entirely dao-to-dao something that will become normal eventually but is entirely novel and really cool to see 

2 this loan is entirely backed by nft's legitimizing the use of nft's as collateral within defi 

wen cryptopunk as collateral https://tco/zzzcqww4nb",historic 1 loan entirely dao-to-dao something become normal eventually entirely novel really cool see 2 loan entirely backed nft's legitimizing nft's collateral within defi wen cryptopunk collateral https://tco/zzzcqww4nb
186,2021-07-16 14:23:28+00:00,After fighting a DMCA notice erved to me by Larva Lab on July 1t 2021 I won and on July 16th Foundation reintated my work (CryptoPunk #3100) – unequivocally proving my CryptoPunk i more punk,after fighting a dmca notice served to me by larva labs on july 1st 2021 i won and on july 16th foundation reinstated my work (cryptopunk 3100) – unequivocally proving my cryptopunk is more punk,fighting dmca notice served larva lab july 1st 2021 july 16th foundation reinstated work (cryptopunk 3100) – unequivocally proving cryptopunk
196,2021-07-16 07:04:39+00:00,Maybe one day thi #PunkCat will reunite with it matching #CryptoPunk An ultra rare one of only 24 phyically printed ealed CryptoPunk recently old @Sotheby @CryptoPunkCat http://tco/D5Pz2dt5w8 http://tco/oa4giuZe8l,maybe one day this punkcat will reunite with its matching cryptopunk an ultra rare one of only 24 physically printed sealed cryptopunk recently sold @sothebys @cryptopunkcats https://tco/d5pz2dt5w8 https://tco/oa4giuze8l,maybe day punkcat reunite matching cryptopunk ultra rare 24 physically printed sealed cryptopunk recently @sothebys @cryptopunkcats https://tco/d5pz2dt5w8 https://tco/oa4giuze8l
203,2021-07-16 03:17:11+00:00,@SuperRareRoe @curiounft @XCOPYART @Coldie Anyone with a CryptoPunk avatar and Matt Kane background I tend to trut 🤓Can't wait to ee how everything unfold--- it' been really exciting everything that' unfolding from SR lately Thank,@superrareroses @curiousnft @xcopyart @coldie anyone with a cryptopunk avatar and matt kane background i tend to trust 🤓can't wait to see how everything unfolds--- it's been really exciting everything that's unfolding from sr lately thank,@superrareroses @curiousnft @xcopyart @coldie anyone cryptopunk avatar matt kane background tend trust 🤓can't wait see everything unfolds--- really exciting everything that's unfolding sr lately thank
212,2021-07-15 22:15:59+00:00,8/ What if Cartman exited on-chain natively a a Web 3 aet much like a Meebit or a Cryptopunk What if Cartman’ character and narrative could be governed by a DAO What if hi tory and character arc could be determined democratically http://tco/b5YnZdZn88,8/ what if cartman existed on-chain natively as a web 3 asset much like a meebit or a cryptopunk what if cartman’s character and narrative could be governed by a dao what if his story and character arc could be determined democratically https://tco/b5ynzdzn88,8/ cartman existed on-chain natively web 3 asset much like meebit cryptopunk cartman’s character narrative could governed dao story character arc could determined democratically https://tco/b5ynzdzn88
214,2021-07-15 21:33:38+00:00,@baedkarbon Man with that ETH target I may actually be able to afford a CryptoPunk Gib,@basedkarbon man with that eth target i may actually be able to afford a cryptopunk gib,@basedkarbon man eth target may actually able afford cryptopunk gib
215,2021-07-15 20:41:30+00:00,"I’m o upet

@jony_bee jut told me that the #Cryptopunk I wa after ince 2-3 day ago jut old

I’m upet caue I really wanted her but couldn’t find the eller I aked @larvalab dicord but no 1 could help

I hope at leat he went to a woman 🥺
http://tco/JPJWtOm7r","i’m so upset

@jony_bee just told me that the cryptopunk i was after since 2-3 days ago just sold

i’m upset cause i really wanted her but couldn’t find the seller i asked @larvalabs discord but no 1 could help

i hope at least she went to a woman 🥺
https://tco/jspjwtom7r",i’m upset @jony_bee told cryptopunk since 2-3 day ago i’m upset cause really wanted couldn’t find seller asked @larvalabs discord 1 could help hope least went woman 🥺 https://tco/jspjwtom7r
219,2021-07-15 19:17:51+00:00,CryptoPunk #1676 x Cool Cat #5872 x Chromie Squiggle #263 I am now officially complete 🌈🕺✨ http://tco/OAqg4PLtZw,cryptopunk 1676 x cool cat 5872 x chromie squiggle 263 i am now officially complete 🌈🕺✨ https://tco/oaqg4pltzw,cryptopunk 1676 x cool cat 5872 x chromie squiggle 263 officially complete 🌈🕺✨ https://tco/oaqg4pltzw
247,2021-07-15 04:28:17+00:00,"🚨 SOLD 🚨

Zombie CryptoPunk #9368 ha uppoedly had an earring all thee year but only the power of x-ray could finally reveal it

☠️ http://tco/XDU8le3Z5 ☠️

#NFT #NFT #NFTcollector #NFTcollector #CryptoPunk #AltPunk #UnofficialPunk http://tco/loLzAZD8a","🚨 sold 🚨

zombie cryptopunk 9368 has supposedly had an earring all these years but only the power of x-rays could finally reveal it

☠️ https://tco/xdu8sle3z5 ☠️

nft nft nftcollector nftcollector cryptopunk altpunks unofficialpunks https://tco/lolzazds8a",🚨 🚨 zombie cryptopunk 9368 supposedly earring year power x-ray could finally reveal ☠️ https://tco/xdu8sle3z5 ☠️ nft nft nftcollector nftcollector cryptopunk altpunks unofficialpunks https://tco/lolzazds8a
309,2021-07-13 21:41:00+00:00,"1/ A thread that no one will read If you happen to ee it pleae hare 🙏
I have been thinking about thi for a few day I really like my Cryptopunk Redux project It i random and weird but till ha a connection to omething","1/ a thread that no one will read if you happen to see it please share 🙏
i have been thinking about this for a few days i really like my cryptopunk redux project it is random and weird but still has a connection to something",1/ thread read happen see please share 🙏 thinking day really like cryptopunk redux project random weird still connection something
321,2021-07-13 17:15:42+00:00,@natechatain @CryptoPhunk So no cryptopunk ownerhip i managed by LL according to their T&amp;C yet omehow they decided to go againt their own T&amp;C to upport an action that YOU have peronally puhed for all along Dirty work @natechatain I have no doubt in my mind that you are behind it @CryptoPhunk✊,@natechastain @cryptophunks so no cryptopunk ownership is managed by ll according to their t&amp;c yet somehow they decided to go against their own t&amp;c to support an action that you have personally pushed for all along dirty work @natechastain i have no doubt in my mind that you are behind it @cryptophunks✊,@natechastain @cryptophunks cryptopunk ownership managed according t&amp;c yet somehow decided go t&amp;c support action personally pushed along dirty work @natechastain doubt mind behind @cryptophunks✊
329,2021-07-13 15:24:56+00:00,@BlackDave @garyvee @veefriend @fewociou @MrChuckD @erwah_attafuah @ikotic4 @AKaiMorton @garyvee expect a newbie with 025 without inider info to flip their way to a 40k cryptopunk which i now the floor I really want to know the trategy are they flipping collectible what good one can you get Or would you better off flipping art and changing to collectible,@blackdave @garyvee @veefriends @fewocious @mrchuckd @serwah_attafuah @sikotic4 @akaimorton @garyvee expects a newbie with 025 without insider info to flip their way to a 40k cryptopunk which is now the floor i really want to know the strategy are they flipping collectibles what good ones can you get or would you better off flipping art and changing to collectible,@blackdave @garyvee @veefriends @fewocious @mrchuckd @serwah_attafuah @sikotic4 @akaimorton @garyvee expects newbie 025 without insider info flip way 40k cryptopunk floor really want know strategy flipping collectible good one get would better flipping art changing collectible
340,2021-07-13 12:43:57+00:00,"The raffle for @VoxieNFT end tomorrow If you mint today you’ll till be entered Here are the prize below We’re not playing game 😉🔥

1 Cryptopunk Ye really
2 Axie Land worth 5 Eth
3 A Bored Ape NFT 

😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫","the raffle for @voxiesnft ends tomorrow if you mint today you’ll still be entered here are the prizes below we’re not playing games 😉🔥

1 cryptopunk yes really
2 axie land worth 5 eth
3 a bored ape nft 

😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫",raffle @voxiesnft end tomorrow mint today you’ll still entered prize we’re playing game 😉🔥 1 cryptopunk yes really 2 axie land worth 5 eth 3 bored ape nft 😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫
345,2021-07-13 09:59:41+00:00,"Not a big fan of CryptoPunk remixe or OpenSea mint but I really love anime oooo

I bought thi: 

Roronoa Zoro (Dreroa Arc) #305
@anime_punk http://tco/610A4vXDVC","not a big fan of cryptopunk remixes or opensea mints but i really love anime soooo

i bought this: 

roronoa zoro (dressrosa arc) 305
@anime_punks https://tco/610a4vxdvc",big fan cryptopunk remixes opensea mint really love anime soooo bought this: roronoa zoro (dressrosa arc) 305 @anime_punks https://tco/610a4vxdvc
366,2021-07-13 03:45:46+00:00,"""The bet (only) CryptoPunk rapper alive"" aka @SpottieWiFi ha officially entered the Gutter🤯😳

An honor to have you with u for the long haul we'll now be waiting for the firt ever @GutterCatGang rap ong to fill the gutter of the pace with ome heat 🔥⚡😻

#NFT http://tco/EuwOBC9XRF","""the best (only) cryptopunk rapper alive"" aka @spottiewifi has officially entered the gutter🤯😳

an honor to have you with us for the long haul we'll now be waiting for the first ever @guttercatgang rap song to fill the gutters of the space with some heat 🔥⚡😻

nft https://tco/euwobc9xrf","""the best (only) cryptopunk rapper alive"" aka @spottiewifi officially entered gutter🤯😳 honor u long haul we'll waiting first ever @guttercatgang rap song fill gutter space heat 🔥⚡😻 nft https://tco/euwobc9xrf"
371,2021-07-13 00:47:38+00:00,"🚨 SOLD 🚨

The x-ray of CryptoPunk #3011 He' mart to wear hade I don't really know how to ue thi machine lol

Thank you mytery buyer 🎉

☠️ http://tco/aqL7wbDkUS ☠️

#NFT #NFT #NFTale #NFTcollector #NFTcollector #CryptoPunk #AltPunk #UnofficialPunk http://tco/QLon8IwJP","🚨 sold 🚨

the x-ray of cryptopunk 3011 he's smart to wear shades i don't really know how to use this machine lol

thank you mystery buyer 🎉

☠️ https://tco/aql7wbdkus ☠️

nft nft nftale nftcollector nftcollector cryptopunk altpunks unofficialpunks https://tco/qlon8iwsjp",🚨 🚨 x-ray cryptopunk 3011 he's smart wear shade really know machine lol thank mystery buyer 🎉 ☠️ https://tco/aql7wbdkus ☠️ nft nft nftale nftcollector nftcollector cryptopunk altpunks unofficialpunks https://tco/qlon8iwsjp
373,2021-07-13 00:12:50+00:00,"🚨 SOLD 🚨

The x-ray of CryptoPunk #1645 – he alway officially had an earring under her hat but you could never ee it until now

Xray Punk are revealing thing left &amp; right 👀

☠️ http://tco/RGyFRRMT3 ☠️

#NFT #NFT #NFTale #NFTcollector #CryptoPunk #AltPunk http://tco/KhgwhD9QA7","🚨 sold 🚨

the x-ray of cryptopunk 1645 – she always officially had an earring under her hat but you could never see it until now

xray punks are revealing things left &amp; right 👀

☠️ https://tco/rgyfrrmst3 ☠️

nft nft nftale nftcollector cryptopunk altpunks https://tco/khgwhd9qa7",🚨 🚨 x-ray cryptopunk 1645 – always officially earring hat could never see xray punk revealing thing left right 👀 ☠️ https://tco/rgyfrrmst3 ☠️ nft nft nftale nftcollector cryptopunk altpunks https://tco/khgwhd9qa7
374,2021-07-12 23:50:46+00:00,"🚨 SOLD 🚨

The x-ray of CryptoPunk #9572 revealed a et of brace

Alo we probably hould've told her to remove her welding goggle at the time but ¯\_(ツ)_/¯

☠️ http://tco/IFOhVuGge5 ☠️

#NFT #NFTale #NFTcollector #NFTcollector #CryptoPunk #AltPunk #UnofficialPunk http://tco/2efvmFtIM","🚨 sold 🚨

the x-ray of cryptopunk 9572 revealed a set of braces

also we probably should've told her to remove her welding goggles at the time but ¯\_(ツ)_/¯

☠️ https://tco/ifohvugge5 ☠️

nft nftale nftcollector nftcollector cryptopunk altpunks unofficialpunks https://tco/2efsvmftim",🚨 🚨 x-ray cryptopunk 9572 revealed set brace also probably told remove welding goggles time ¯\_(ツ)_/¯ ☠️ https://tco/ifohvugge5 ☠️ nft nftale nftcollector nftcollector cryptopunk altpunks unofficialpunks https://tco/2efsvmftim
376,2021-07-12 23:33:30+00:00,"Literally every cryptopunk derivative i popping off right now LEP BPYC punkcat dytopian bgan punk v2 phunk it doent matter they all are all 📈 right now kind of intereting 

Cc @Zeneca_33","literally every cryptopunk derivative is popping off right now leps bpyc punkcats dystopians bgan punks v2 phunks it doesnt matter they all are all 📈 right now kind of interesting 

cc @zeneca_33",literally every cryptopunk derivative popping right leps bpyc punkcats dystopians bgan punk v2 phunks doesnt matter 📈 right kind interesting cc @zeneca_33
380,2021-07-12 22:32:41+00:00,Keep in mind the 1994 Space Jam ite tayed up the entire time until the new movie incorporated it a it wa  It wa baically the Cryptopunk of movie webite  I'm valuing my uncommon Bug at 690 eth,keep in mind the 1994 space jam site stayed up the entire time until the new movie incorporated it as it was  it was basically the cryptopunk of movie websites  i'm valuing my uncommon bugs at 690 eth,keep mind 1994 space jam site stayed entire time new movie incorporated basically cryptopunk movie website valuing uncommon bug 690 eth
392,2021-07-12 19:19:55+00:00,@garyvee @veefriend flipping ome veefriend to try for a cryptopunk Keeping my originally owned barn owl for life though 🤍,@garyvee @veefriends flipping some veefriends to try for a cryptopunk keeping my originally owned barn owl for life though 🤍,@garyvee @veefriends flipping veefriends try cryptopunk keeping originally owned barn owl life though 🤍
431,2021-07-12 02:07:34+00:00,I really need a #CryptoPunk o I can look down on people like me,i really need a cryptopunk so i can look down on people like me,really need cryptopunk look people like
436,2021-07-12 00:51:46+00:00,Started with $442 in Zed then 2 month later had my firt 50k but intead of buying a CryptoPunk I paid on debt &amp; grinding my way back up gradually http://tco/HrPpMDo640,tarted with 442 in zed then 2 months later had my first 50k but instead of buying a cryptopunk i paid on debts &amp; grinding my way back up gradually https://tco/hrppmdo640,tarted 442 zed 2 month later first 50k instead buying cryptopunk paid debt grinding way back gradually https://tco/hrppmdo640
438,2021-07-12 00:46:44+00:00,@N01Finiher @garyvee Unofficially on my Twitter I uppoe haha Flipped 016 ETH (2 Bored Ape mint) into my CryptoPunk,@n01finisher @garyvee unofficially on my twitter i suppose haha flipped 016 eth (2 bored ape mints) into my cryptopunk,@n01finisher @garyvee unofficially twitter suppose haha flipped 016 eth (2 bored ape mints) cryptopunk
467,2021-07-11 13:15:52+00:00,I'm literally going to flip If I ee omeone monetiing my flipped/rotated #BAYC or #cryptopunk on ome of their random merch,i'm literally going to flip if i see someone monetising my flipped/rotated bayc or cryptopunk on some of their random merch,literally going flip see someone monetising flipped/rotated bayc cryptopunk random merch
480,2021-07-11 00:01:08+00:00,@garyvee I'm till focued on trying to officially Ape into the Bored Ape 🦍💜 I can't even think about a Cryptopunk right now 😂,@garyvee i'm still focused on trying to officially ape into the bored apes 🦍💜 i can't even think about a cryptopunk right now 😂,@garyvee still focused trying officially ape bored ape 🦍💜 can't even think cryptopunk right 😂
482,2021-07-10 21:46:19+00:00,So if we add up every Cryptopunk Ape Cool Cat Dead Head Meebit Degen Goat and Bull that' about 90000 avatar total or roughly one for every 85000 human It might be a little early to call thi market 'over-aturated' epecially when no one you know IRL get NFT yet,o if we add up every cryptopunk ape cool cat dead head meebit degen goat and bull that's about 90000 avatars total or roughly one for every 85000 humans it might be a little early to call this market 'over-saturated' especially when no one you know irl gets nft yet,add every cryptopunk ape cool cat dead head meebit degen goat bull that's 90000 avatar total roughly every 85000 human might little early call market 'over-saturated' especially know irl get nft yet
487,2021-07-10 13:38:29+00:00,The  bidding activity in the #cryptopunk market ha really picked up a  late June I am curiou what percent of thee wallet are looking to flip previou NFT gain in to punk http://tco/LL2mwIMv2x,the  bidding activity in the cryptopunk market has really picked up as  late june i am curious what percent of these wallets are looking to flip previous nft gains in to punks https://tco/ll2mwimv2x,bidding activity cryptopunk market really picked late june curious percent wallet looking flip previous nft gain punk https://tco/ll2mwimv2x
489,2021-07-10 12:37:28+00:00,I really need a cryptopunk,i really need a cryptopunk,really need cryptopunk
530,2021-07-09 00:01:01+00:00,Why would anyone want to own #nft from @aong0116 Creative Director at Warner Bro Epecially when they look o drop dead gorgeou right Rather buy a cryptopunk or pickle ape bear intead 🙄 http://tco/PlbWoT2KlY,why would anyone want to own nft from @asong0116 creative director at warner bros especially when they look so drop dead gorgeous right rather buy a cryptopunk or pickle ape bear instead 🙄 https://tco/plbwot2kly,would anyone want nft @asong0116 creative director warner bros especially look drop dead gorgeous right rather buy cryptopunk pickle ape bear instead 🙄 https://tco/plbwot2kly
547,2021-07-08 16:59:41+00:00,"Me claiming a free cryptopunk in 2017: ""haha blockchain i cool""

Me looking at my punk in 2021: ""I could buy a really nice car with thi""","me claiming a free cryptopunk in 2017: ""haha blockchain is cool""

me looking at my punk in 2021: ""i could buy a really nice car with this""","claiming free cryptopunk 2017: ""haha blockchain cool"" looking 2021: ""i could buy really nice car this"""
548,2021-07-08 15:16:06+00:00,"Congratulation @icamiami It’ o exciting to ee a mueum acquire a #CryptoPunk epecially when you live o cloe to it 😈 

And double extra uper point for acquiring a female punk no le http://tco/QBcSJq7jUg","congratulations @icamiami it’s so exciting to see a museum acquire a cryptopunk especially when you live so close to it 😈 

and double extra super points for acquiring a female punk no less https://tco/qbcsjq7jug",congratulation @icamiami it’s exciting see museum acquire cryptopunk especially live close 😈 double extra super point acquiring female le https://tco/qbcsjq7jug
591,2021-07-07 10:35:05+00:00,"@Zeebrongi @woomy_2 alo all the rtfkt people have thoe really ugly template-generated pixelart """"""cryptopunk"""""" avatar","@zeebrongis @woomy_2 also all the rtfkt people have those really ugly template-generated pixelart """"""cryptopunk"""""" avatar","@zeebrongis @woomy_2 also rtfkt people really ugly template-generated pixelart """"""cryptopunk"""""" avatar"
614,2021-07-06 16:35:02+00:00,Do you need an intereting background for you pfp How about adding a Cryptopunk Redux to the mix Both ued in thee example are available on Openea Although I really like the one I ued for the @ElephantNFTS (which i mine) o it may not tay for long #CryptoPunk #BAYC http://tco/ru38MlBUe2,do you need an interesting background for you pfp how about adding a cryptopunk redux to the mix both used in these examples are available on opensea although i really like the one i used for the @elephantnft (which is mine) so it may not stay for long cryptopunk bayc https://tco/ru38mlbue2,need interesting background pfp adding cryptopunk redux mix used example available opensea although really like used @elephantnft (which mine) may stay long cryptopunk bayc https://tco/ru38mlbue2
619,2021-07-06 15:29:54+00:00,CryptoPunk floor finally back to the price that I firt bought mine in March 🤝,cryptopunk floor finally back to the price that i first bought mine in march 🤝,cryptopunk floor finally back price first bought mine march 🤝
628,2021-07-06 09:36:39+00:00,Have a #CryptoPunk and want ome liquidity We have lender willing to offer loan up to 500ETH @ 18% APR Loan to value ratio i uually around 50% of trait floor If you have a punk worth more than 100ETH reach out to u at otc@nftficom and we will help broker a deal http://tco/a5haPQPInL,have a cryptopunk and want some liquidity we have lenders willing to offer loans up to 500eth @ 18% apr loan to value ratio is usually around 50% of trait floor if you have a punk worth more than 100eth reach out to us at otc@nftficom and we will help broker a deal https://tco/a5hapqpinl,cryptopunk want liquidity lender willing offer loan 500eth @ 18% apr loan value ratio usually around 50% trait floor worth 100eth reach u otc@nftficom help broker deal https://tco/a5hapqpinl
661,2021-07-05 10:37:26+00:00,@thelatdj_19 @ColeThereum @nftcollector15 Thi dude alway pot omething like: ent me 1 eth and I will return you a cryptopunk He alo doe daily giveaway without actually giving anything away,@thelastdj_19 @colethereum @nftcollector15 this dude always posts something like: sent me 1 eth and i will return you a cryptopunk he also does daily giveaways without actually giving anything away,@thelastdj_19 @colethereum @nftcollector15 dude always post something like: sent 1 eth return cryptopunk also daily giveaway without actually giving anything away
