Keyword,Frequency,Sentiment Score
female,5,0.12356
male,131,0.1204487804878049
dark,131,0.1141646551724138
light,102,0.1808309999999999
medium,33,0.208228125
albino,42,0.0901025
alien,1510,0.0728241947565543
ape,4561,0.081008328595793
zombie,14,0.288276923076923
