,day,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets
0,18-06-23,0,0,1,1
1,18-06-30,0,0,1,1
2,18-07-05,0,0,1,1
3,18-07-23,0,0,1,1
4,18-07-26,0,0,1,1
5,18-08-11,0,0,1,1
6,18-08-27,0,0,1,1
7,18-08-28,0,1,0,1
8,18-09-03,0,0,1,1
9,18-09-13,0,0,1,1
10,18-09-14,1,0,0,1
11,18-09-17,0,0,1,1
12,18-09-19,0,0,1,1
13,18-09-25,1,0,0,1
14,18-09-30,0,0,1,1
15,18-10-08,0,0,1,1
16,18-10-11,0,0,1,1
17,18-10-17,0,0,1,1
18,18-10-31,0,0,1,1
19,18-11-03,0,0,1,1
20,18-11-09,1,0,0,1
21,18-11-28,0,0,1,1
22,18-12-17,0,0,1,1
23,18-12-20,0,0,1,1
24,18-12-22,1,0,0,1
25,18-12-31,1,0,0,1
26,19-01-02,0,0,2,2
27,19-01-08,0,0,2,2
28,19-02-19,1,0,0,1
29,19-05-01,1,0,2,3
30,19-05-06,1,0,3,4
31,19-05-07,0,1,0,1
32,19-05-11,1,0,0,1
33,19-05-14,1,0,0,1
34,19-05-15,0,0,2,2
35,19-05-18,0,0,1,1
36,19-05-19,0,0,1,1
37,19-05-30,0,0,1,1
38,19-06-14,0,0,1,1
39,19-06-16,0,0,1,1
