,day,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets
75,21-01-21,0,0,2,2
76,21-01-23,3,3,13,19
77,21-01-24,3,0,14,17
78,21-01-25,1,1,8,10
79,21-01-26,1,0,4,5
80,21-01-27,0,0,3,3
81,21-01-29,0,1,1,2
82,21-01-30,0,2,2,4
83,21-01-31,0,1,4,5
84,21-02-01,0,0,3,3
85,21-02-02,0,1,4,5
86,21-02-03,1,0,2,3
87,21-02-04,0,0,2,2
88,21-02-05,0,0,4,4
89,21-02-06,1,0,0,1
90,21-02-07,1,0,4,5
91,21-02-08,1,0,6,7
92,21-02-09,1,0,6,7
93,21-02-10,0,0,4,4
94,21-02-11,0,1,5,6
95,21-02-12,1,0,2,3
96,21-02-13,2,0,8,10
97,21-02-14,2,1,15,18
98,21-02-15,1,0,8,9
99,21-02-16,2,0,6,8
100,21-02-17,1,4,13,18
101,21-02-18,1,3,23,27
102,21-02-19,5,2,14,21
103,21-02-20,2,1,9,12
104,21-02-21,4,3,17,24
105,21-02-22,2,0,16,18
106,21-02-23,4,4,12,20
107,21-02-24,1,1,15,17
108,21-02-25,2,2,13,17
109,21-02-26,3,1,9,13
110,21-02-27,4,0,5,9
111,21-02-28,1,3,11,15
112,21-03-01,1,1,21,23
113,21-03-02,3,0,16,19
114,21-03-03,1,1,12,14
115,21-03-04,1,2,15,18
116,21-03-05,3,0,7,10
117,21-03-06,1,0,3,4
118,21-03-07,0,2,13,15
119,21-03-08,1,1,17,19
120,21-03-09,1,0,8,9
121,21-03-10,1,1,5,7
122,21-03-11,7,5,46,58
123,21-03-12,4,2,22,28
124,21-03-13,3,3,20,26
125,21-03-14,1,2,15,18
126,21-03-15,2,1,8,11
127,21-03-16,2,3,9,14
128,21-03-17,2,1,9,12
129,21-03-18,4,2,18,24
130,21-03-19,6,1,18,25
131,21-03-20,2,2,13,17
132,21-03-21,2,2,20,24
133,21-03-22,2,3,9,14
134,21-03-23,2,0,11,13
135,21-03-24,2,1,19,22
136,21-03-25,4,1,11,16
137,21-03-26,0,2,14,16
138,21-03-27,5,1,11,17
139,21-03-28,0,2,14,16
140,21-03-29,3,4,10,17
141,21-03-30,3,2,13,18
142,21-03-31,3,1,22,26
143,21-04-01,3,2,21,26
144,21-04-02,1,0,31,32
145,21-04-03,6,0,45,51
146,21-04-04,1,2,34,37
147,21-04-05,9,4,39,52
148,21-04-06,5,1,39,45
149,21-04-07,4,2,47,53
150,21-04-08,5,1,64,70
151,21-04-09,7,7,51,65
152,21-04-10,4,4,42,50
153,21-04-11,8,0,31,39
154,21-04-12,6,2,42,50
155,21-04-13,8,2,40,50
156,21-04-14,7,3,39,49
157,21-04-15,11,3,55,69
158,21-04-16,4,1,42,47
159,21-04-17,8,2,45,55
160,21-04-18,6,3,36,45
161,21-04-19,2,4,39,45
162,21-04-20,6,5,33,44
163,21-04-21,2,1,33,36
164,21-04-22,4,1,23,28
165,21-04-23,3,3,30,36
166,21-04-24,6,1,29,36
167,21-04-25,5,3,32,40
168,21-04-26,5,2,28,35
169,21-04-27,4,3,65,72
170,21-04-28,8,2,51,61
171,21-04-29,7,4,41,52
172,21-04-30,8,1,42,51
173,21-05-01,8,1,29,38
174,21-05-02,4,6,45,55
175,21-05-03,11,4,47,62
176,21-05-04,8,3,35,46
177,21-05-05,6,2,24,32
178,21-05-06,14,1,38,53
179,21-05-07,6,1,40,47
180,21-05-08,4,1,30,35
181,21-05-09,7,2,22,31
182,21-05-10,10,2,36,48
183,21-05-11,9,4,37,50
184,21-05-12,13,6,62,81
185,21-05-13,1,3,38,42
186,21-05-14,5,1,27,33
187,21-05-15,8,0,17,25
188,21-05-16,3,2,22,27
189,21-05-17,3,2,10,15
190,21-05-18,5,3,22,30
191,21-05-19,1,0,23,24
192,21-05-20,4,4,24,32
193,21-05-21,6,2,18,26
194,21-05-22,5,0,19,24
195,21-05-23,2,1,21,24
196,21-05-24,1,1,11,13
197,21-05-25,3,0,17,20
198,21-05-26,2,2,26,30
199,21-05-27,6,4,20,30
200,21-05-28,5,4,15,24
201,21-05-29,4,0,14,18
202,21-05-30,5,1,29,35
203,21-05-31,3,2,19,24
204,21-06-01,4,2,20,26
205,21-06-02,1,4,15,20
206,21-06-03,6,1,16,23
207,21-06-04,4,4,10,18
208,21-06-05,3,2,17,22
209,21-06-06,1,1,15,17
210,21-06-07,5,1,11,17
211,21-06-08,3,4,12,19
212,21-06-09,4,3,8,15
213,21-06-10,2,3,65,70
214,21-06-11,8,5,54,67
