,day,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets
0,20-07-06,0,0,1,1
1,20-07-15,0,0,3,3
2,20-08-03,0,0,1,1
3,20-08-08,1,0,0,1
4,20-08-26,0,0,1,1
5,20-08-28,0,0,1,1
6,20-08-29,0,1,0,1
7,20-09-01,0,0,1,1
8,20-09-02,0,0,1,1
9,20-09-03,0,0,1,1
10,20-09-04,0,1,0,1
11,20-09-07,1,0,2,3
12,20-09-09,0,0,1,1
13,20-09-12,0,0,1,1
14,20-09-16,0,0,1,1
15,20-09-18,1,0,0,1
16,20-09-20,0,0,1,1
17,20-09-21,0,0,1,1
18,20-09-24,0,0,2,2
19,20-09-25,0,1,4,5
20,20-09-27,3,0,1,4
21,20-09-28,0,0,3,3
22,20-09-29,0,0,1,1
23,20-09-30,0,0,1,1
24,20-10-01,0,1,0,1
25,20-10-03,1,0,1,2
26,20-10-04,0,0,3,3
27,20-10-06,0,0,1,1
28,20-10-07,1,0,1,2
29,20-10-09,0,0,1,1
30,20-10-13,0,0,3,3
31,20-10-20,0,0,1,1
32,20-10-22,0,0,1,1
33,20-10-26,0,0,1,1
34,20-10-28,0,0,1,1
35,20-10-31,0,0,1,1
36,20-11-01,1,0,0,1
37,20-11-11,0,0,1,1
38,20-11-13,0,1,0,1
39,20-11-14,0,0,1,1
40,20-11-15,0,0,1,1
41,20-11-17,1,0,0,1
42,20-11-19,0,0,1,1
43,20-11-21,0,0,2,2
44,20-11-22,0,0,1,1
45,20-11-23,0,0,2,2
46,20-11-24,2,0,2,4
47,20-12-02,0,0,1,1
48,20-12-10,0,0,1,1
49,20-12-12,0,1,0,1
50,20-12-22,0,0,1,1
51,20-12-23,0,0,1,1
52,20-12-25,0,0,1,1
53,20-12-26,1,0,0,1
54,20-12-29,0,1,3,4
55,20-12-30,0,0,1,1
56,20-12-31,1,0,0,1
57,21-01-02,0,0,1,1
58,21-01-03,0,0,1,1
59,21-01-04,0,1,0,1
60,21-01-05,0,0,2,2
61,21-01-06,0,1,2,3
62,21-01-07,0,2,0,2
63,21-01-08,0,0,5,5
64,21-01-09,0,0,2,2
65,21-01-10,0,0,1,1
66,21-01-11,1,0,1,2
67,21-01-12,0,0,2,2
68,21-01-13,1,0,3,4
69,21-01-14,1,0,1,2
70,21-01-15,1,0,2,3
71,21-01-16,0,1,0,1
72,21-01-17,0,1,0,1
73,21-01-18,0,0,1,1
74,21-01-20,0,0,3,3
