,day,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets
197,19-06-16,0,0,1,1
198,19-07-10,0,0,1,1
199,19-07-12,0,0,1,1
200,19-07-13,0,0,1,1
201,19-07-27,0,0,1,1
202,19-09-12,0,0,1,1
203,19-09-16,0,1,0,1
204,19-09-22,0,0,1,1
205,19-09-24,0,0,2,2
206,19-09-28,0,0,1,1
207,19-10-14,0,0,1,1
208,19-10-17,1,0,0,1
209,19-11-07,0,0,1,1
210,19-11-23,0,0,1,1
211,19-11-29,0,0,1,1
212,19-12-18,1,0,0,1
213,19-12-31,0,0,1,1
214,20-01-01,0,0,1,1
