date,eth_price,Daily Return,Positive,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets,polarity
2017-06-23,0.12258823529411765,,False,,,,,
2017-06-24,0.2103529412,0.715930902303263,1,,,,,
2017-06-25,0.14556168154277152,-0.30801214039420566,0,,,,,
2017-06-26,0.16400019999999998,0.12667151314688918,1,,,,,
2017-06-27,0.28013208192186967,0.7081203676694887,1,,,,,
2017-06-28,0.0976174340218015,-0.6515306874097073,0,,,,,
2017-06-29,0.20340449656620693,1.0836902609095356,1,,,,,
2017-06-30,0.2857142857142857,0.4046606173295064,1,,,,,
2017-07-01,0.2184391817725825,-0.23546286379596115,0,,,,,
2017-07-02,0.36364510709150083,0.6647430380420145,1,,,,,
2017-07-03,0.5386088888888889,0.4811388311994076,1,,,,,
2017-07-04,0.5678434782608696,0.05427795562804305,1,,,,,
2017-07-05,0.32466666666666666,-0.42824619970802325,0,,,,,
2017-07-06,0.4349230769230769,0.33959879955773187,1,,,,,
2017-07-07,0.7742857142857144,0.7802819748345042,1,,,,,
2017-07-08,0.4514814814814815,-0.41690583572502393,0,,,,,
2017-07-09,0.3675,-0.18601312551271532,0,,,,,
2017-07-10,0.4631976755173391,0.26040183814241935,1,,,,,
2017-07-11,0.6987249999999999,0.5084812315165521,1,,,,,
2017-07-12,0.3959457264957265,-0.43333110093995986,0,,,,,
2017-07-13,0.7937528509916001,1.0047011443124316,1,,,,,
2017-07-14,0.3608333333316667,-0.5454084569511861,0,,,,,
2017-07-15,0.53,0.46882217090747735,1,,,,,
2017-07-16,0.68,0.28301886792452824,1,,,,,
2017-07-17,1.95,1.867647058823529,1,,,,,
2017-07-18,0.9716666666666667,-0.5017094017094017,0,,,,,
2017-07-19,0.4526538461538462,-0.5341469850903813,0,,,,,
2017-07-20,0.43892499998494994,-0.030329679700170087,0,,,,,
2017-07-21,0.4683238095238095,0.06697911839122295,1,,,,,
2017-07-22,0.34454563636363633,-0.26430040634925334,0,,,,,
2017-07-23,0.36999999999999994,0.07387806127806784,1,,,,,
2017-07-24,0.3435714285714285,-0.0714285714285714,0,,,,,
2017-07-25,1.0695000000000001,2.1128898128898137,1,,,,,
2017-07-26,0.35000000000000003,-0.6727442730247779,0,,,,,
2017-07-27,0.3,-0.14285714285714302,0,,,,,
2017-07-28,0.3884,0.29466666666666685,1,,,,,
2017-07-29,0.612375,0.5766606591143151,1,,,,,
2017-07-30,0.24285714285714285,-0.6034176070918263,0,,,,,
2017-07-31,0.45,0.8529411764705883,1,,,,,
2017-08-01,0.28,-0.37777777777777777,0,,,,,
2017-08-02,2.4,7.571428571428571,1,,,,,
2017-08-03,0.9088333333333334,-0.6213194444444444,0,,,,,
2017-08-05,3.0,2.3009352649917476,1,,,,,
2017-08-07,0.285,-0.905,0,,,,,
2017-08-08,0.47,0.6491228070175439,1,,,,,
2017-08-09,0.3,-0.36170212765957444,0,,,,,
2017-08-11,0.2545,-0.15166666666666662,0,,,,,
2017-08-12,0.1971875,-0.22519646365422408,0,,,,,
2017-08-13,0.21832333333333334,0.10718647649234025,1,,,,,
2017-08-14,0.375,0.7176359222559812,1,0.0,1.0,0.0,1.0,-1.0
2017-08-15,0.226111,-0.39703733333333335,0,,,,,
2017-08-21,0.3,0.32678197876264314,1,,,,,
2017-08-23,0.23,-0.23333333333333328,0,,,,,
2017-08-25,0.26,0.13043478260869557,1,,,,,
2017-08-26,0.3,0.15384615384615374,1,,,,,
2017-08-28,0.235,-0.21666666666666667,0,,,,,
2017-08-30,0.23,-0.02127659574468077,0,,,,,
2017-08-31,0.27,0.17391304347826098,1,1.0,0.0,1.0,2.0,1.0
2017-09-02,0.2,-0.2592592592592593,0,,,,,
2017-09-04,0.35000000000000003,0.75,1,0.0,1.0,0.0,1.0,-1.0
2017-09-08,0.25,-0.2857142857142858,0,,,,,
2017-09-10,0.22999999999999998,-0.08000000000000007,0,,,,,
2017-09-11,0.235,0.021739130434782705,1,,,,,
2017-09-12,0.14,-0.4042553191489361,0,,,,,
2017-09-17,0.26780000000000004,0.912857142857143,1,,,,,
2017-09-18,0.22,-0.17849141150112036,0,,,,,
2017-09-19,0.5,1.272727272727273,1,1.0,0.0,0.0,1.0,1.0
2017-09-20,0.182,-0.636,0,,,,,
2017-09-21,0.18666666666666668,0.025641025641025772,1,,,,,
2017-09-22,0.27,0.4464285714285714,1,,,,,
2017-09-23,0.275,0.0185185185185186,1,,,,,
2017-09-27,0.35,0.2727272727272725,1,,,,,
2017-09-29,0.16,-0.5428571428571428,0,,,,,
2017-09-30,0.0575,-0.640625,0,,,,,
2017-10-04,0.2,2.4782608695652173,1,,,,,
2017-10-11,0.22,0.09999999999999987,1,,,,,
2017-10-12,0.13,-0.40909090909090906,0,,,,,
2017-10-13,0.2333333333333333,0.7948717948717947,1,,,,,
2017-10-15,0.17666666666666667,-0.24285714285714277,0,,,,,
2017-10-16,0.29,0.641509433962264,1,,,,,
2017-10-19,0.09,-0.6896551724137931,0,,,,,
2017-10-20,0.32,2.555555555555556,1,,,,,
2017-10-21,0.26,-0.1875,0,,,,,
2017-10-25,0.15,-0.42307692307692313,0,,,,,
2017-10-26,0.10000000000000002,-0.33333333333333315,0,,,,,
2017-10-28,0.1,-1.1102230246251565e-16,0,,,,,
2017-10-29,0.07,-0.29999999999999993,0,,,,,
2017-10-30,0.24,2.428571428571428,1,,,,,
2017-10-31,0.1125,-0.53125,0,,,,,
2017-11-01,0.095,-0.15555555555555556,0,,,,,
2017-11-02,0.13,0.368421052631579,1,,,,,
