,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
13715,4/8/21,5480,1352,16,4325,Human,Male,Albino,3,"['Classic Shades', 'Earring', 'Do-rag']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk4325.png
13716,4/21/21,3228,483,21.49,4325,Human,Male,Albino,3,"['Classic Shades', 'Earring', 'Do-rag']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk4325.png
13717,8/6/21,483,577,54,4325,Human,Male,Albino,3,"['Classic Shades', 'Earring', 'Do-rag']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk4325.png
2871,6/7/18,3242,3175,0.07,4326,Human,Male,Medium,2,"['Wild Hair', 'Mole']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4326.png
2872,2/11/21,3003,2757,6.66,4326,Human,Male,Medium,2,"['Wild Hair', 'Mole']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4326.png
2873,6/17/22,2757,5962,94,4326,Human,Male,Medium,2,"['Wild Hair', 'Mole']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4326.png
10658,2/14/21,1898,3247,9,4327,Human,Female,Light,2,"['Bandana', 'Purple Eye Shadow']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4327.png
10659,2/19/21,3247,4729,13.5,4327,Human,Female,Light,2,"['Bandana', 'Purple Eye Shadow']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4327.png
10660,8/11/21,5639,914,63,4327,Human,Female,Light,2,"['Bandana', 'Purple Eye Shadow']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4327.png
1327,7/24/17,4530,1218,0.03,4329,Human,Male,Dark,2,"['Eye Mask', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4329.png
1328,12/30/19,920,6023,0.39,4329,Human,Male,Dark,2,"['Eye Mask', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4329.png
1329,1/4/20,6023,6055,0.44,4329,Human,Male,Dark,2,"['Eye Mask', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4329.png
1330,1/8/20,6055,6023,0.54,4329,Human,Male,Dark,2,"['Eye Mask', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4329.png
1331,1/16/20,6023,1538,0.57,4329,Human,Male,Dark,2,"['Eye Mask', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4329.png
1332,5/17/20,1538,1983,0.74,4329,Human,Male,Dark,2,"['Eye Mask', 'Mohawk Thin']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4329.png
