,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
17258,6/18/22,3096,4252,56.95,4434,Human,Female,Medium,3,"['Black Lipstick', 'Green Eye Shadow', 'Wild Hair']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4434.png
2467,1/19/18,4990,3201,0.16,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2468,2/16/21,3201,4466,13.9,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2469,2/21/21,4466,6083,24,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2470,4/10/21,6083,2682,35,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2471,8/1/21,2682,4123,61,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2472,10/29/21,283,1002,129.5,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
12701,3/12/21,809,5892,125,4441,Human,Male,Light,2,"['Hoodie', '3D Glasses']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4441.png
17467,1/28/22,6384,3096,80,4443,Human,Female,Dark,2,"['Bandana', 'Nerd Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4443.png
17468,2/2/22,3096,5642,78,4443,Human,Female,Dark,2,"['Bandana', 'Nerd Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4443.png
9737,1/1/21,1173,6060,11.44,4444,Human,Male,Dark,3,"['Normal Beard Black', 'Shaved Head', 'Mole']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4444.png
9738,2/5/21,6060,425,24,4444,Human,Male,Dark,3,"['Normal Beard Black', 'Shaved Head', 'Mole']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4444.png
61,6/24/17,1406,1904,0.35,4445,Human,Male,Light,2,"['Peak Spike', 'Small Shades']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4445.png
62,1/29/20,1904,2193,1.2,4445,Human,Male,Light,2,"['Peak Spike', 'Small Shades']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4445.png
9699,12/29/20,1164,5249,6.5,4446,Human,Male,Medium,3,"['Clown Nose', 'Normal Beard Black', 'Cap']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4446.png
11679,2/21/21,2292,4106,16,4447,Human,Male,Medium,2,"['Cap', 'Goat']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4447.png
11680,4/6/21,4106,4619,18,4447,Human,Male,Medium,2,"['Cap', 'Goat']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4447.png
11681,4/20/21,4619,908,21.75,4447,Human,Male,Medium,2,"['Cap', 'Goat']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4447.png
11682,6/19/22,5161,3195,74.95,4447,Human,Male,Medium,2,"['Cap', 'Goat']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4447.png
11683,7/17/22,5630,1040,0,4447,Human,Male,Medium,2,"['Cap', 'Goat']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4447.png
9555,11/15/20,6394,5677,4.6,4452,Human,Male,Dark,3,"['Shadow Beard', 'VR', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4452.png
9556,12/26/20,5677,3357,5.7,4452,Human,Male,Dark,3,"['Shadow Beard', 'VR', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4452.png
9557,1/3/21,3357,3107,7.5,4452,Human,Male,Dark,3,"['Shadow Beard', 'VR', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4452.png
9558,4/15/21,5357,1204,40.666,4452,Human,Male,Dark,3,"['Shadow Beard', 'VR', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4452.png
17111,10/11/21,2292,3096,107.5,4453,Human,Female,Light,2,"['Horned Rim Glasses', 'Purple Lipstick']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4453.png
17112,11/23/21,2642,6242,93.95,4453,Human,Female,Light,2,"['Horned Rim Glasses', 'Purple Lipstick']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4453.png
11696,2/21/21,2292,4549,14.5,4454,Human,Male,Light,2,"['Mohawk Thin', 'Chinstrap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4454.png
11697,2/21/21,4549,5555,16.5,4454,Human,Male,Light,2,"['Mohawk Thin', 'Chinstrap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4454.png
11698,8/5/21,5555,3519,35.05,4454,Human,Male,Light,2,"['Mohawk Thin', 'Chinstrap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4454.png
11699,8/6/21,3519,6348,53,4454,Human,Male,Light,2,"['Mohawk Thin', 'Chinstrap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4454.png
